"","tract","cbsa","cbsaname","cbsapop","cbsasamp1","cbsasamp2","cbsasamp3","nwhite","nblack","nhisp","nasian","povyes","povno","edlow","edhs","edsome","edba","owner","renter","twoparent","singparent","nokids","age0017","age1859","age60up"
"1","55133203304",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,3647,50,91,217,27,3730,88,463,795,1142,1285,319,470,98,858,1135,2140,762
"2","55079020700",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,3616,115,457,52,541,3860,346,1010,964,904,1407,575,283,271,1399,813,2712,786
"3","55079170200",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,3266,130,341,78,163,3651,284,952,971,586,915,849,216,231,1262,797,2182,890
"4","55133200201",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,3391,60,37,77,199,3291,231,961,704,898,894,891,230,89,1423,561,1491,1543
"5","55131460102",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,4855,30,80,45,116,4791,198,1239,1062,1039,1833,65,576,44,1247,1128,2825,1085
"6","55079186600",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,562,257,1238,47,420,1194,351,406,237,117,242,432,94,136,444,777,1216,159
"7","55133200102",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,4541,76,133,64,113,4588,450,1117,983,858,1512,788,333,178,1677,905,2800,1147
"8","55133204100",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,4756,50,122,45,59,5119,90,736,1062,1650,1605,174,686,80,1120,1378,2662,992
"9","55079000700",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,1143,2197,107,89,336,3373,288,779,865,487,846,610,155,369,947,936,1788,856
"10","55079000800",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,1228,3342,209,276,911,4203,441,967,969,539,1016,929,317,435,1145,1519,2916,694
"11","55089650300",33340,"Milwaukee-Waukesha-West Allis, WI CBSA",1555908,1,1,0,5199,33,71,47,65,4859,123,691,974,1524,1738,124,599,32,1108,1404,2721,1246
