"","bgroup10","urban","fams","fpov","fnopov","fpovkids","fnopovkids"
"1","361090001001",1,136,0,136,0,45
"2","361090002001",1,15,0,15,0,0
"3","361090002002",1,19,0,19,0,0
"4","361090002003",1,18,0,18,0,5
"5","361090003001",1,33,2,31,0,0
"6","361090004001",1,103,10,93,5,60
"7","361090005001",1,424,54,370,54,183
"8","361090005002",1,236,36,200,27,99
"9","361090005003",1,433,0,433,0,203
"10","361090006001",1,380,0,380,0,184
"11","361090006002",1,210,14,196,14,67
"12","361090006003",1,36,0,36,0,9
"13","361090006004",1,306,9,297,0,117
"14","361090007001",1,75,14,61,7,44
"15","361090007002",1,337,23,314,23,178
"16","361090007003",1,153,0,153,0,74
"17","361090008001",1,253,95,158,85,76
"18","361090008002",1,223,75,148,56,78
"19","361090009001",0,394,122,272,88,92
"20","361090009002",0,325,11,314,11,205
"21","361090009003",1,207,44,163,7,85
"22","361090010001",0,388,152,236,152,114
"23","361090010002",1,153,29,124,29,52
"24","361090010003",1,129,0,129,0,40
"25","361090011001",1,253,15,238,0,85
"26","361090011002",1,148,0,148,0,0
"27","361090011003",1,518,54,464,34,205
"28","361090012001",1,21,0,21,0,0
"29","361090013001",0,513,12,501,0,208
"30","361090013002",1,205,13,192,13,155
"31","361090013003",1,161,16,145,0,56
"32","361090013004",1,126,0,126,0,27
"33","361090013005",1,139,24,115,0,41
"34","361090014001",0,234,0,234,0,87
"35","361090014002",0,326,8,318,8,110
"36","361090014003",0,396,0,396,0,151
"37","361090015001",0,430,76,354,76,117
"38","361090015002",1,486,9,477,0,281
"39","361090015003",0,772,48,724,48,366
"40","361090016001",0,286,0,286,0,98
"41","361090016002",0,350,52,298,49,86
"42","361090016003",0,446,116,330,116,186
"43","361090017001",0,539,109,430,97,162
"44","361090017002",0,431,0,431,0,129
"45","361090017003",0,336,32,304,32,184
"46","361090018001",0,472,55,417,45,215
"47","361090018002",0,423,38,385,38,126
"48","361090018003",0,278,21,257,21,148
"49","361090019001",0,283,19,264,19,57
"50","361090019002",0,447,0,447,0,143
"51","361090019003",0,631,49,582,0,217
"52","361090019004",0,491,26,465,15,189
"53","361090020001",1,388,46,342,40,164
"54","361090020002",0,284,10,274,10,92
"55","361090020003",0,379,27,352,0,142
"56","361090021001",0,392,19,373,19,203
"57","361090021002",0,335,22,313,7,136
"58","361090021003",0,495,69,426,69,165
"59","361090022001",0,494,36,458,36,172
"60","361090022002",0,292,31,261,24,98
"61","361090022003",0,441,14,427,10,188
"62","361090023001",0,632,104,528,104,186
"63","361090023002",0,596,0,596,0,214
"64","361090023003",0,326,0,326,0,110
