idsite,site,street,city,st,zip,ylat,xlon
1,CAROLINE,2439 SLATERVILLE RD,SLATERVILLE SPRINGS,NY,14881,42.3933,-76.3719
2,CASSAVANT,32 SCHOOL ST,MCLEAN,NY,13102,42.5503,-76.2939
3,DRYDEN,16 UNION ST,DRYDEN,NY,13053,42.4891,-76.2957
4,ENFIELD,20 ENFIELD MAIN RD,ITHACA,NY,14850,42.4492,-76.6318
5,FREEVILLE,43 MAIN ST,FREEVILLE,NY,13068,42.5111,-76.3504
6,GROTON,516 ELM ST,GROTON,NY,13073,42.5854,-76.3585
7,NEWFIELD,247 MAIN ST,NEWFIELD,NY,14867,42.3579,-76.5969
8,NORTHEAST,425 WINTHROP DR,ITHACA,NY,14850,42.4733,-76.4681
9,BUCKLEY,284 RIDGE RD,LANSING,NY,14882,42.5446,-76.531
10,SOUTH HILL,520 HUDSON ST,ITHACA,NY,14850,42.4342,-76.4929
11,TRUMANSBURG,100 WHIG ST,TRUMANSBURG,NY,14886,42.538,-76.6559
